val_loss,val_acc,epoch,step,train_loss_epoch,train_acc_epoch,train_loss_step,train_acc_step
1.0980284214019775,0.2647058963775635,0,3,,,,
,,0,3,1.1104435920715332,0.2421875,,
1.0723927021026611,0.44117647409439087,1,7,,,,
,,1,7,1.0815223455429077,0.359375,,
1.0312867164611816,0.6029411554336548,2,11,,,,
,,2,11,1.04289710521698,0.609375,,
0.9816849827766418,0.6764705777168274,3,15,,,,
,,3,15,0.9804191589355469,0.6953125,,
0.9356725215911865,0.6764705777168274,4,19,,,,
,,4,19,0.8977546095848083,0.734375,,
0.9174551963806152,0.6764705777168274,5,23,,,,
,,5,23,0.8489181995391846,0.6796875,,
0.9459246397018433,0.6764705777168274,6,27,,,,
,,6,27,0.805323600769043,0.6875,,
1.0024135112762451,0.6764705777168274,7,31,,,,
,,7,31,0.696344792842865,0.734375,,
1.0389217138290405,0.6764705777168274,8,35,,,,
,,8,35,0.7280415296554565,0.6796875,,
1.0584391355514526,0.6764705777168274,9,39,,,,
,,9,39,0.627821683883667,0.7421875,,
1.0627003908157349,0.6764705777168274,10,43,,,,
,,10,43,0.6229814887046814,0.75,,
1.049958348274231,0.6764705777168274,11,47,,,,
,,11,47,0.6071522235870361,0.703125,,
,,12,49,,,0.6889489889144897,0.65625
1.044994831085205,0.6764705777168274,12,51,,,,
,,12,51,0.6216528415679932,0.6953125,,
1.0597270727157593,0.6764705777168274,13,55,,,,
,,13,55,0.5409234762191772,0.734375,,
1.1177557706832886,0.6764705777168274,14,59,,,,
,,14,59,0.5038182139396667,0.765625,,
1.1601396799087524,0.6764705777168274,15,63,,,,
,,15,63,0.49231866002082825,0.765625,,
1.156282901763916,0.6764705777168274,16,67,,,,
,,16,67,0.4146542549133301,0.8125,,
1.1708298921585083,0.75,17,71,,,,
,,17,71,0.3898954391479492,0.84375,,
1.2819825410842896,0.7647058963775635,18,75,,,,
,,18,75,0.3256157338619232,0.8671875,,
1.377263069152832,0.75,19,79,,,,
,,19,79,0.30508220195770264,0.859375,,
