val_loss,val_acc,epoch,step,train_loss_epoch,train_acc_epoch,train_loss_step,train_acc_step,test_loss,test_acc
1.033705711364746,0.6617646813392639,0,4,,,,,,
,,0,4,1.063845157623291,0.5,,,,
0.9366207122802734,0.6764705777168274,1,9,,,,,,
,,1,9,0.9844245314598083,0.7133333086967468,,,,
0.88326096534729,0.6764705777168274,2,14,,,,,,
,,2,14,0.826582670211792,0.7333333492279053,,,,
0.9737644195556641,0.6764705777168274,3,19,,,,,,
,,3,19,0.7167381644248962,0.7333333492279053,,,,
1.0543813705444336,0.6764705777168274,4,24,,,,,,
,,4,24,0.7123307585716248,0.7266666889190674,,,,
1.0247011184692383,0.6764705777168274,5,29,,,,,,
,,5,29,0.6775578856468201,0.7200000286102295,,,,
0.9746291041374207,0.6764705777168274,6,34,,,,,,
,,6,34,0.6326944828033447,0.7133333086967468,,,,
0.9878036379814148,0.6764705777168274,7,39,,,,,,
,,7,39,0.5833567976951599,0.7133333086967468,,,,
1.0799540281295776,0.6764705777168274,8,44,,,,,,
,,8,44,0.5355542898178101,0.7333333492279053,,,,
,,9,49,,,0.4020610451698303,0.800000011920929,,
1.0521819591522217,0.6911764740943909,9,49,,,,,,
,,9,49,0.46108296513557434,0.7599999904632568,,,,
1.1470770835876465,0.7352941036224365,10,54,,,,,,
,,10,54,0.3712294101715088,0.8600000143051147,,,,
1.273760199546814,0.75,11,59,,,,,,
,,11,59,0.2999771535396576,0.8733333349227905,,,,
1.4059853553771973,0.75,12,64,,,,,,
,,12,64,0.24991078674793243,0.8799999952316284,,,,
1.5809792280197144,0.75,13,69,,,,,,
,,13,69,0.1831560581922531,0.9066666960716248,,,,
1.8438141345977783,0.7352941036224365,14,74,,,,,,
,,14,74,0.1396990269422531,0.95333331823349,,,,
2.106886625289917,0.75,15,79,,,,,,
,,15,79,0.11387644708156586,0.95333331823349,,,,
2.3108222484588623,0.7647058963775635,16,84,,,,,,
,,16,84,0.0907675102353096,0.9866666793823242,,,,
2.6536121368408203,0.7647058963775635,17,89,,,,,,
,,17,89,0.06552167981863022,0.9866666793823242,,,,
2.9648420810699463,0.779411792755127,18,94,,,,,,
,,18,94,0.0480852872133255,0.9866666793823242,,,,
,,19,99,,,0.014196881093084812,1.0,,
3.243650436401367,0.75,19,99,,,,,,
,,19,99,0.035497188568115234,1.0,,,,
,,20,100,,,,,1.8441895246505737,0.6907216310501099
