val_loss,val_acc,epoch,step,train_loss_epoch,train_acc_epoch,train_loss_step,train_acc_step
1.0713772773742676,0.5147058963775635,0,4,,,,
,,0,4,1.083959698677063,0.40666666626930237,,
1.0282381772994995,0.6764705777168274,1,9,,,,
,,1,9,1.0458461046218872,0.6066666841506958,,
0.9699311852455139,0.6764705777168274,2,14,,,,
,,2,14,0.9741002321243286,0.7333333492279053,,
0.9097805619239807,0.6764705777168274,3,19,,,,
,,3,19,0.8868839740753174,0.7133333086967468,,
0.9001905918121338,0.6764705777168274,4,24,,,,
,,4,24,0.7879731059074402,0.7266666889190674,,
1.0027507543563843,0.6764705777168274,5,29,,,,
,,5,29,0.6833265423774719,0.7400000095367432,,
1.0502574443817139,0.6764705777168274,6,34,,,,
,,6,34,0.7280229926109314,0.7066666483879089,,
0.992651641368866,0.6764705777168274,7,39,,,,
,,7,39,0.6677781343460083,0.7200000286102295,,
0.955618143081665,0.6764705777168274,8,44,,,,
,,8,44,0.5829237699508667,0.7333333492279053,,
,,9,49,,,0.5942538380622864,0.6666666865348816
0.9608038663864136,0.6764705777168274,9,49,,,,
,,9,49,0.5851524472236633,0.7133333086967468,,
1.0299116373062134,0.6764705777168274,10,54,,,,
,,10,54,0.5111565589904785,0.753333330154419,,
1.0964765548706055,0.6764705777168274,11,59,,,,
,,11,59,0.4868026673793793,0.7400000095367432,,
1.0592323541641235,0.6617646813392639,12,64,,,,
,,12,64,0.43646830320358276,0.7733333110809326,,
1.1081949472427368,0.7058823704719543,13,69,,,,
,,13,69,0.38786253333091736,0.8266666531562805,,
1.2485178709030151,0.7058823704719543,14,74,,,,
,,14,74,0.3437807857990265,0.8399999737739563,,
1.351980447769165,0.7647058963775635,15,79,,,,
,,15,79,0.2750207185745239,0.8799999952316284,,
1.4623596668243408,0.7647058963775635,16,84,,,,
,,16,84,0.23918645083904266,0.8866666555404663,,
1.6026866436004639,0.75,17,89,,,,
,,17,89,0.19980430603027344,0.8999999761581421,,
1.745076298713684,0.7352941036224365,18,94,,,,
,,18,94,0.16608606278896332,0.9266666769981384,,
,,19,99,,,0.05368988215923309,1.0
1.970061182975769,0.7352941036224365,19,99,,,,
,,19,99,0.12949171662330627,0.95333331823349,,
