val_loss,val_acc,epoch,step,train_loss_epoch,train_acc_epoch,train_loss_step,train_acc_step
1.0940558910369873,0.27941176295280457,0,4,,,,
,,0,4,1.0958590507507324,0.23333333432674408,,
1.0778225660324097,0.4117647111415863,1,9,,,,
,,1,9,1.073380708694458,0.4266666769981384,,
1.0502161979675293,0.5882353186607361,2,14,,,,
,,2,14,1.0452215671539307,0.6466666460037231,,
1.0154740810394287,0.6764705777168274,3,19,,,,
,,3,19,1.0020192861557007,0.7200000286102295,,
0.9793050289154053,0.6764705777168274,4,24,,,,
,,4,24,0.9459732174873352,0.7133333086967468,,
0.9546328186988831,0.6764705777168274,5,29,,,,
,,5,29,0.8810239434242249,0.7133333086967468,,
0.962487518787384,0.6764705777168274,6,34,,,,
,,6,34,0.8099285960197449,0.7266666889190674,,
0.9968218803405762,0.6764705777168274,7,39,,,,
,,7,39,0.7637941241264343,0.7200000286102295,,
1.024839997291565,0.6764705777168274,8,44,,,,
,,8,44,0.7379118204116821,0.7133333086967468,,
,,9,49,,,0.6374647617340088,0.800000011920929
1.024146318435669,0.6764705777168274,9,49,,,,
,,9,49,0.7252695560455322,0.7066666483879089,,
1.011181116104126,0.6764705777168274,10,54,,,,
,,10,54,0.6871748566627502,0.7200000286102295,,
0.9895355105400085,0.6764705777168274,11,59,,,,
,,11,59,0.6752532720565796,0.7133333086967468,,
0.9864614009857178,0.6764705777168274,12,64,,,,
,,12,64,0.6350091099739075,0.7133333086967468,,
0.9975854158401489,0.6764705777168274,13,69,,,,
,,13,69,0.5985702276229858,0.7266666889190674,,
1.0206493139266968,0.6764705777168274,14,74,,,,
,,14,74,0.5930083990097046,0.7200000286102295,,
1.0658282041549683,0.6764705777168274,15,79,,,,
,,15,79,0.539242684841156,0.7333333492279053,,
1.0804284811019897,0.6764705777168274,16,84,,,,
,,16,84,0.5175495147705078,0.746666669845581,,
1.1035032272338867,0.6764705777168274,17,89,,,,
,,17,89,0.48226261138916016,0.7733333110809326,,
1.1255862712860107,0.6764705777168274,18,94,,,,
,,18,94,0.4424732029438019,0.800000011920929,,
,,19,99,,,0.5594292283058167,0.800000011920929
1.1407861709594727,0.720588207244873,19,99,,,,
,,19,99,0.4345252513885498,0.8133333325386047,,
