val_loss,val_acc,epoch,step,train_loss_epoch,train_acc_epoch,train_loss_step,train_acc_step
1.1314630508422852,0.1617647111415863,0,4,,,,
,,0,4,1.151570200920105,0.10000000149011612,,
1.103105902671814,0.25,1,9,,,,
,,1,9,1.1235851049423218,0.1066666692495346,,
1.0547763109207153,0.47058823704719543,2,14,,,,
,,2,14,1.0774668455123901,0.3199999928474426,,
0.9916216731071472,0.5882353186607361,3,19,,,,
,,3,19,1.0073802471160889,0.6000000238418579,,
0.9325042963027954,0.6764705777168274,4,24,,,,
,,4,24,0.9233773946762085,0.7066666483879089,,
0.9205036163330078,0.6764705777168274,5,29,,,,
,,5,29,0.8131960034370422,0.7266666889190674,,
0.9724131226539612,0.6764705777168274,6,34,,,,
,,6,34,0.7400661706924438,0.7133333086967468,,
1.0449129343032837,0.6764705777168274,7,39,,,,
,,7,39,0.6896554231643677,0.7333333492279053,,
1.0653294324874878,0.6764705777168274,8,44,,,,
,,8,44,0.6865063309669495,0.7133333086967468,,
,,9,49,,,0.7397127747535706,0.6666666865348816
1.0612449645996094,0.6764705777168274,9,49,,,,
,,9,49,0.6573362350463867,0.7200000286102295,,
1.0266954898834229,0.6764705777168274,10,54,,,,
,,10,54,0.6248483061790466,0.7200000286102295,,
1.0214776992797852,0.6764705777168274,11,59,,,,
,,11,59,0.5886368155479431,0.7266666889190674,,
1.0502426624298096,0.6764705777168274,12,64,,,,
,,12,64,0.5444774031639099,0.7400000095367432,,
1.0799753665924072,0.6764705777168274,13,69,,,,
,,13,69,0.5034700632095337,0.7333333492279053,,
1.1177608966827393,0.6764705777168274,14,74,,,,
,,14,74,0.5018961429595947,0.7599999904632568,,
1.1126607656478882,0.7058823704719543,15,79,,,,
,,15,79,0.4759357273578644,0.7733333110809326,,
1.1329107284545898,0.720588207244873,16,84,,,,
,,16,84,0.4141225516796112,0.8133333325386047,,
1.1993194818496704,0.7352941036224365,17,89,,,,
,,17,89,0.38333937525749207,0.8333333134651184,,
1.2237457036972046,0.75,18,94,,,,
,,18,94,0.37039753794670105,0.8533333539962769,,
,,19,99,,,0.35003605484962463,0.8666666746139526
1.2940528392791748,0.75,19,99,,,,
,,19,99,0.3152575194835663,0.8733333349227905,,
