val_loss,val_acc,epoch,step,train_loss_epoch,train_acc_epoch,train_loss_step,train_acc_step
1.0694572925567627,0.5588235259056091,0,2,,,,
,,0,2,1.086926817893982,0.4749999940395355,,
1.052883267402649,0.5882353186607361,1,5,,,,
,,1,5,1.0597585439682007,0.6333333253860474,,
1.037113904953003,0.6617646813392639,2,8,,,,
,,2,8,1.041851282119751,0.675000011920929,,
1.0169711112976074,0.6764705777168274,3,11,,,,
,,3,11,1.0175780057907104,0.7250000238418579,,
0.9950974583625793,0.6764705777168274,4,14,,,,
,,4,14,0.9985562562942505,0.7083333134651184,,
0.9703519344329834,0.6764705777168274,5,17,,,,
,,5,17,0.9730045199394226,0.7083333134651184,,
0.9448273777961731,0.6764705777168274,6,20,,,,
,,6,20,0.9369356632232666,0.7083333134651184,,
0.9196617007255554,0.6764705777168274,7,23,,,,
,,7,23,0.9074848890304565,0.7083333134651184,,
0.9009642601013184,0.6764705777168274,8,26,,,,
,,8,26,0.8731915950775146,0.675000011920929,,
0.8964900374412537,0.6764705777168274,9,29,,,,
,,9,29,0.8341420292854309,0.6916666626930237,,
0.912331223487854,0.6764705777168274,10,32,,,,
,,10,32,0.7510154247283936,0.7250000238418579,,
0.945086658000946,0.6764705777168274,11,35,,,,
,,11,35,0.7712291479110718,0.699999988079071,,
0.9819798469543457,0.6764705777168274,12,38,,,,
,,12,38,0.7134028077125549,0.7166666388511658,,
1.0118521451950073,0.6764705777168274,13,41,,,,
,,13,41,0.7069815397262573,0.7250000238418579,,
1.009007453918457,0.6764705777168274,14,44,,,,
,,14,44,0.7616347074508667,0.6916666626930237,,
0.9756425023078918,0.6764705777168274,15,47,,,,
,,15,47,0.700778603553772,0.699999988079071,,
,,16,49,,,0.8868986368179321,0.574999988079071
0.9482026696205139,0.6764705777168274,16,50,,,,
,,16,50,0.6860938668251038,0.699999988079071,,
0.9285721182823181,0.6764705777168274,17,53,,,,
,,17,53,0.637992799282074,0.7166666388511658,,
0.9263927340507507,0.6764705777168274,18,56,,,,
,,18,56,0.6198252439498901,0.7416666746139526,,
0.9437567591667175,0.6764705777168274,19,59,,,,
,,19,59,0.5864614844322205,0.7416666746139526,,
